------------------------------
ID: 23445334_2742351
Report type: position_tracking_rankings_overview
Period: 20260425 - 20260501
Keyword difficulty filter: KD >= 0 and KD <= 50
Linktype filter: !geo&!hot
------------------------------

Keyword,*.k4studios.com/*_20260501,*.k4studios.com/*_20260501_visibility,*.k4studios.com/*_20260501_type,*.k4studios.com/*_20260501_landing,*.k4studios.com/*_difference,*.k4studios.com/*_visibility_difference,Tags,Intents,CPC,Search Volume,Keyword Difficulty
western art,-,0.00000,,,-,0.00000,,c,0.71,4400,18
cowboy art,-,0.00000,,,-,0.00000,,c,0.73,2400,4
man cave decor,-,0.00000,,,-,0.00000,,c,0.43,2400,25
western artwork,-,0.00000,,,-,0.00000,,i|c,0.71,2400,9
civil war art,-,0.00000,,,-,0.00000,,c,0.53,1900,25
cowboy artwork,-,0.00000,,,-,0.00000,,c,0.73,1600,16
western photoshoot,-,0.00000,,,-,0.00000,,c,0.52,1600,18
wild west outlaws,-,0.00000,,,-,0.00000,,i,n/a,1600,36
wild west time period,-,0.00000,,,-,0.00000,,i,n/a,1600,38
western paintings,-,0.00000,,,-,0.00000,,c,n/a,1300,15
western photos,-,0.00000,,,-,0.00000,,c,0.52,1300,45
western wall decor,-,0.00000,,,-,0.00000,,c,0.38,1300,13
wild west cowboys,-,0.00000,,,-,0.00000,,i,1.68,1300,45
wild west photos,-,0.00000,,,-,0.00000,,i,0.53,1300,36
cowboy paintings,-,0.00000,,,-,0.00000,,i|c,0.91,1000,10
pictures wild west,-,0.00000,,,-,0.00000,,i,0.53,1000,32
mountain photography,-,0.00000,,,-,0.00000,,i,1.00,880,40
cowboy photos,-,0.00000,,,-,0.00000,,i,0.85,720,42
era of the wild west,-,0.00000,,,-,0.00000,,i,n/a,720,42
western art prints,-,0.00000,,,-,0.00000,,c,0.60,720,9
western prints,-,0.00000,,,-,0.00000,,c,0.66,720,8
women of the wild west,-,0.00000,,,-,0.00000,,i,n/a,720,25
western art paintings,-,0.00000,,,-,0.00000,,c,0.53,590,15
western wall artwork,-,0.00000,,,-,0.00000,,c,0.56,590,9
what is the wild west,-,0.00000,,,-,0.00000,,i,n/a,590,41
american wild west,-,0.00000,,,-,0.00000,,i|t,n/a,480,50
cowboy wall art,-,0.00000,,,-,0.00000,,i|c,0.60,480,7
cowboys wild west,-,0.00000,,,-,0.00000,,i,1.68,480,42
famous western paintings,-,0.00000,,,-,0.00000,,i|c,n/a,480,16
fine art landscape photography,-,0.00000,,,-,0.00000,,i,0.52,390,24
waterfall photos,-,0.00000,,,-,0.00000,,i,0.45,390,40
western landscape paintings,-,0.00000,,,-,0.00000,,c,0.71,390,11
wild west art,-,0.00000,,,-,0.00000,,c,0.82,390,15
cowboy pic,-,0.00000,,,-,0.00000,,i,n/a,320,42
fine art black and white photography,-,0.00000,,,-,0.00000,,c,0.73,320,18
vintage cowboy art,40,0.00665,organic,https://www.k4studios.com/vintage-western-art,-4,-0.00086,,c,0.42,320,10
vintage western art,-,0.00000,,,-,0.00000,,c,0.46,320,5
western artists paintings,-,0.00000,,,-,0.00000,,i|c,0.64,320,14
western landscape art,-,0.00000,,,-,0.00000,,i|c,0.71,320,4
cowboy photo,-,0.00000,,,-,0.00000,,i,0.85,260,39
cowboy portrait,27,0.00944,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,-17,-0.01417,,c,n/a,260,12
fine art portrait photography,-,0.00000,,,-,0.00000,,i,1.31,260,11
frederic remington prints,-,0.00000,,,-,0.00000,,c,0.34,260,7
old west posters,-,0.00000,,,-,0.00000,,c,0.39,260,14
waterfall photography,-,0.00000,,,-,0.00000,,i,0.26,260,18
wild west artwork,31,0.00859,organic,https://www.k4studios.com/wild-west-art,-6,-0.00129,,c,0.82,260,10
wild west paintings,-,0.00000,,,-,0.00000,,i|c,14.34,260,23
wild west poster,-,0.00000,,,-,0.00000,,c,0.39,260,7
cowboy photography,-,0.00000,,,-,0.00000,,i,1.29,210,16
old west art,-,0.00000,,,-,0.00000,,i|c,0.43,210,17
old western paintings,-,0.00000,,,-,0.00000,,c,0.32,210,10
photography western,35,0.00773,organic,https://www.k4studios.com/Western-Cowboy-Photography,0,0.00000,,i,1.17,210,19
photos from the wild west,-,0.00000,,,-,0.00000,,i,0.53,210,31
vintage western wall art,-,0.00000,,,-,0.00000,,i|c,0.37,210,8
western cowboy pictures,-,0.00000,,,-,0.00000,,i,0.43,210,35
art of the west,-,0.00000,,,-,0.00000,,i|n,n/a,170,11
contemporary western art,-,0.00000,,,-,0.00000,,c,1.31,170,10
cowboy art prints,-,0.00000,,,-,0.00000,,i|c,0.64,170,3
cowboy photoshoot,-,0.00000,,,-,0.00000,,i,0.85,170,25
cowboy western paintings,-,0.00000,,,-,0.00000,,i|c,0.51,170,11
modern western interior design,-,0.00000,,,-,0.00000,,i,n/a,170,11
old western art,-,0.00000,,,-,0.00000,,i|c,n/a,170,6
vintage western prints,29,0.00901,organic,https://www.k4studios.com/vintage-western-art,-1,-0.00021,,c,0.37,170,4
western cowboy art,-,0.00000,,,-,0.00000,,i|c,0.71,170,2
western cowboy art prints,-,0.00000,,,-,0.00000,,c,0.48,170,0
western cowboys images,-,0.00000,,,-,0.00000,,i,0.43,170,32
western interior design,-,0.00000,,,-,0.00000,,i,0.89,170,20
western landscape artists,-,0.00000,,,-,0.00000,,i,0.71,170,11
western photo shoot,-,0.00000,,,-,0.00000,,i,0.52,170,5
contemporary western interior design,-,0.00000,,,-,0.00000,,i,n/a,140,15
fine art black and white photos,-,0.00000,,,-,0.00000,,c,0.73,140,14
old cowboy photographs,-,0.00000,,,-,0.00000,,i,n/a,140,13
old photos wild west,-,0.00000,,,-,0.00000,,i,0.24,140,33
remington prints,-,0.00000,,,-,0.00000,,c,0.27,140,10
train photography,23,0.01030,organic,https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Trains,-11,-0.00579,,i,n/a,140,9
vintage cowboy images,-,0.00000,,,-,0.00000,,c,0.99,140,19
vintage cowboy photos,-,0.00000,,,-,0.00000,,c,0.99,140,23
western cowboy artwork,-,0.00000,,,-,0.00000,,i|c,0.71,140,7
western cowboy paintings art,-,0.00000,,,-,0.00000,,c,0.51,140,10
western home interior design ideas,-,0.00000,,,-,0.00000,,i,0.43,140,21
black and white cowboy photos,12,0.01610,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,3,0.00268,,c,0.42,110,12
black and white western art,15,0.01341,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,-2,-0.00161,,i|c,0.61,110,0
cowboy artwork prints,-,0.00000,,,-,0.00000,,i|c,0.64,110,0
old west cowboy pics,-,0.00000,,,-,0.00000,,i,n/a,110,33
old west paintings,-,0.00000,,,-,0.00000,,c,0.23,110,19
painterly photography,1,0.39063,ai overview,https://www.k4studios.com/Blog/what-is-painterly-photography,0,0.00000,,i,n/a,110,12
rustic western interior design,-,0.00000,,,-,0.00000,,i,n/a,110,25
rustic western wall decor,-,0.00000,,,-,0.00000,,i|c,0.54,110,8
vintage cowboy pictures,-,0.00000,,,-,0.00000,,c,1.11,110,23
vintage cowboy print,17,0.01245,organic,https://www.k4studios.com/vintage-western-art,83,0.01245,,i|c,0.29,110,14
vintage western paintings,-,0.00000,,,-,0.00000,,i|c,0.40,110,0
western art for sale,-,0.00000,,,-,0.00000,,t,0.67,110,12
western portraits,18,0.01213,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,-1,-0.00032,,i,0.51,110,10
wild west native american,-,0.00000,,,-,0.00000,,i,n/a,110,25
black and white cowboy art,38,0.00708,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,-4,-0.00086,,i|c,0.77,90,0
black and white pictures of cowboys,14,0.01395,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,19,0.00579,,c,0.42,90,11
black and white western photos,16,0.01288,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,2,0.00075,,c,0.81,90,4
black and white western pictures,30,0.00880,organic,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,-5,-0.00107,,c,0.81,90,6
