index,id,title,length,score,tier,subjectMissing,locationMissing,intentMissing,salesTone
0,i-k4studios,"Welcome K4 Studios",53,3,LIGHT,1,1,1,0
1,i-7hD9CCh,"At the Water’s Edge",472,3,LIGHT,0,0,1,0
2,i-rRdrQBg,"Above the Divide",376,4,MEDIUM,0,0,0,1
3,i-4Hz6D7k,"Carried Forward",458,3,LIGHT,0,1,0,0
4,i-LmpRvHw,"Watching the High Ground",501,6,HIGH,0,0,1,0
5,i-89qzJ6S,"Brothers of the Open Country",557,7,HIGH,0,0,1,1
6,i-wWNfZsT,"The Higher Silence",599,5,MEDIUM,0,1,1,0
7,i-2s2LtQp,"High Country Sentinel",425,3,LIGHT,0,0,0,1
8,i-5j2Knmb,"Eye of the Hunt",643,5,MEDIUM,1,0,0,1
9,i-gL3Nnth,"Justified — or Damned “A Claustrophobic Consequence of Decisions”",568,5,MEDIUM,1,0,1,0
10,i-WfRwfpM,"Standing Into Tomorrow",441,4,MEDIUM,0,1,1,0
11,i-69qsFwx,"Young Warrior",390,5,MEDIUM,0,1,1,1
12,i-QNdCxKN,"The Moment Before",479,3,LIGHT,0,1,0,0
13,i-KtmPcCf,"Crossing in Silence",357,4,MEDIUM,0,1,1,1
14,i-NgkC4Zt,"Elder of the Crossing",473,3,LIGHT,0,1,0,0
15,i-6NQ6hQZ,"High Ground Justice",658,8,HIGH,1,1,0,1
16,i-qLzRgbS,"In the Presence of Time",417,6,HIGH,0,0,1,1
17,i-WMs24Db,"Watching Them Leave",654,6,HIGH,0,0,0,1
18,i-phBP9Mt,"Held by Those Before",535,4,MEDIUM,0,1,0,0
19,i-Ns73cwK,"Keeper of the Flame",385,5,MEDIUM,0,1,1,1
20,i-h679dhn,"Carried Without Words",531,4,MEDIUM,0,1,0,0
21,i-QJXw3Sj,"Red Stripe",343,6,HIGH,0,1,1,1
22,i-WXNSQzk,"Taken by the Hand",475,3,LIGHT,0,1,0,0
23,i-tMGHpqv,"The Long Way Through",480,3,LIGHT,0,1,0,0
24,i-zZJbbHG,"Wrapped in What Remains",401,3,LIGHT,0,1,0,0
25,i-FTCst2K,"Wrapped in Memory",423,3,LIGHT,0,1,0,0
26,i-cNbW8wV,"Held by the Land",435,3,LIGHT,0,1,0,0
27,i-thpSjMG,"Bearing the West",452,4,MEDIUM,0,1,1,0
28,i-vJSCrqC,"Where the Land Widens",577,7,HIGH,0,1,0,1
29,i-CD6rgtF,"Ancestral Ground",469,3,LIGHT,0,1,0,0
30,i-Z7vtvZg,"Leading the Way",592,6,HIGH,0,0,0,1
31,i-Cq3rbHT,"Bearing the Morning",480,3,LIGHT,0,1,0,0
32,i-zt2btJ7,"Rooted in Breath",477,3,LIGHT,0,1,0,0
33,i-bvn9Rmz,"Between Drumbeats",524,6,HIGH,0,1,1,1
34,i-sDZFJ6t,"Unspoken",540,6,HIGH,0,1,1,1
35,i-whbHxkn,"Done the Right Way",506,5,MEDIUM,0,1,1,0
36,i-FkPcsBV,"Point the Way",396,3,LIGHT,0,1,0,0
37,i-c3vWMgt,"No Clean Ending",596,9,HIGH,1,1,1,1
38,i-hHVb4vC,"Carried by the Cry",673,7,HIGH,0,1,0,1
39,i-Z54nXZm,"Watching the Wind",534,4,MEDIUM,0,1,0,0
40,i-R7jg62J,"No Turning Back",537,5,MEDIUM,0,1,1,0
41,i-9frbWfJ,"No Warning Given",425,4,MEDIUM,0,1,1,0
42,i-4Wsxmqv,"Deviation of Destiny",392,4,MEDIUM,0,0,1,1
43,i-4zxZQQ2,"Point of Decision",545,7,HIGH,0,1,0,1
44,i-67Qt8WM,"Held Close",429,4,MEDIUM,0,1,1,0
45,i-Z8pZLnt,"Held Close",429,4,MEDIUM,0,1,1,0
46,i-z4mTWBb,"Held Breath",616,5,MEDIUM,0,1,0,1
47,i-Gk8bBLn,"Driving the Water",466,3,LIGHT,0,1,0,0
48,i-bxDjH9c,"Still Aim",506,4,MEDIUM,0,1,0,0
49,i-V96Rgmj,"Eyes to the Brush",502,4,MEDIUM,0,1,0,0
