Keyword,Volume,Difficulty,Intent,Recommended URL from Semrush,Current ranking URL (if any),Final owning K4 page,Decision (Keep/Soft Use/Ignore),Reason,Copy location (title/H1/H2/paragraph/internal link/metadata),Status
western prints,170,3,commercial,https://www.k4studios.com/Western-Photography-Prints,,https://www.k4studios.com/Western-Photography-Prints,Keep,High buyer intent and clear print-route fit,title+H2+paragraph+internal links,in-place and deployed
western art prints,170,3,commercial,https://www.k4studios.com/Western-Photography-Prints,,https://www.k4studios.com/Western-Photography-Prints,Keep,Primary commercial cluster for print conversion,title+H2+paragraph+internal links,in-place and deployed
western wall artwork,,,commercial,n/a in current low-kd capture,,https://www.k4studios.com/Western-Photography-Prints,Soft Use,Relevant commercial variant but secondary to print-head terms,paragraph+internal link+metadata light,mapped pending enrichment
cowboy print,,,commercial,n/a in current low-kd capture,,https://www.k4studios.com/cowboy-art-prints,Keep,Direct buyer-intent term for cowboy print route,paragraph+metadata light,mapped pending enrichment
cowboy art prints,170,3,commercial,https://www.k4studios.com/Western-Photography-Prints,,https://www.k4studios.com/cowboy-art-prints,Keep,Primary buyer term; best intent match is dedicated cowboy print page,title+H2+paragraph+internal links,in-place and deployed
western photography,,,informational/commercial,n/a in current low-kd capture,,https://www.k4studios.com/Western-Fine-Art-Photography,Keep,Broad Western authority doorway term,H2+paragraph+internal links,in-place and deployed
wild west photography,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/wild-west-art,Keep,Core Wild West doorway phrase for legend-to-story bridge,title+H2+paragraph+internal links,in-place and deployed
old west photography,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/wild-west-art,Keep,Strong modifier inside Wild West cluster,title+paragraph,mapped/in-place
old west artwork,,,informational/commercial,n/a in current low-kd capture,,https://www.k4studios.com/old-western-art,Keep,Definitional old-west ownership belongs to old-west concept page,title+paragraph,mapped pending enrichment
cowboy pictures,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/Cowboy-Fine-Art-Photography,Keep,High-frequency plain-language doorway to cowboy authority,H2+paragraph+internal links,in-place and deployed
cowboy photos,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/Cowboy-Fine-Art-Photography,Keep,Core plain-language variant for same cowboy intent cluster,paragraph,in-place and deployed
cowboy images,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/Cowboy-Fine-Art-Photography,Keep,Same visitor intent as pictures/photos; keep natural use only,paragraph,in-place and deployed
cowgirl pictures,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/western-portrait-photography,Keep,Competitor gap term; best fit on portrait/women route,paragraph+internal links,in-place and deployed
cowgirl photos,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/western-portrait-photography,Keep,Core women-of-the-West doorway variant,metadata light+paragraph,in-place and deployed
black and white cowboy,,,informational/commercial,n/a in current low-kd capture,,https://www.k4studios.com/Cowboy-Fine-Art-Photography,Soft Use,Useful modifier; avoid fragmenting ownership from cowboy hub,paragraph+internal links,mapped/in-place
cowboy black and white,,,informational/commercial,n/a in current low-kd capture,,https://www.k4studios.com/Cowboy-Fine-Art-Photography,Soft Use,Variant of same intent; use naturally and sparingly,paragraph+internal links,mapped/in-place
photo essay,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/One-Image-Movie,Soft Use,Concept-adjacent support phrase for storytelling authority,paragraph+internal links,mapped
visual storytelling,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/Blog/what-is-visual-storytelling-in-photography,Keep,Exact concept page exists; strong authority fit,title+H1+internal links,existing winner protect
painterly photography,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/Blog/what-is-painterly-photography,Keep,Core K4 authority term and differentiator,title+H1+internal links,existing winner protect
pictorialism,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/Pictorialist-Photography,Keep,Art-historical authority bridge; keep strong concept ownership,title+H1+internal links,mapped winner protect
narrative photography,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/Blog/what-is-narrative-photography,Keep,Direct K4 thesis term with existing concept page,title+H1+internal links,existing winner protect
what makes an image feel cinematic,,,informational,n/a in current low-kd capture,,https://www.k4studios.com/Blog/what-makes-an-image-feel-cinematic,Keep,Sleeper winner to protect and reinforce gently,title+H1+internal links,existing winner protect
