"Page","StatusCode","FinalUrl","UsesWww","Title","MetaDesc","H1","Canonical","CanonicalOk","CanonicalUsesWww","NoIndex","InSitemap","WordCount","TechPass"
"/American-Western-Art","200","https://www.k4studios.com/American-Western-Art","True","American Western Art","Browse American Western art by Wayne Heim: collector-focused cowboy portraits, Indigenous portrait work, and frontier narrative scenes offered as???","American Western Art","https://www.k4studios.com/American-Western-Art","True","True","False","True","4399","True"
"/Contemporary-Western-Art","200","https://www.k4studios.com/Contemporary-Western-Art","True","Contemporary Western Art ??? Wayne Heim | K4 Studios","Contemporary Western art by Wayne Heim: present-tense painterly photography carrying the tradition of American Western art forward through modern visual???","Contemporary Western Art","https://www.k4studios.com/Contemporary-Western-Art","True","True","False","True","4446","True"
"/Cowboy-Fine-Art-Photography","200","https://www.k4studios.com/Cowboy-Fine-Art-Photography","True","Cowboy Fine Art Photography ??? Wayne Heim","Cowboy fine art photography by Wayne Heim. This collection features cowboy photography and black and white cowboy photography???authentic portraits of working???","Cowboy Fine Art Photography","https://www.k4studios.com/Cowboy-Fine-Art-Photography","True","True","False","True","4200","True"
"/Fine-Art-Photography-of-the-American-West","200","https://www.k4studios.com/Fine-Art-Photography-of-the-American-West","True","Fine Art Photography of the American West","Fine art photography of the American West by Wayne Heim: historically rooted, painterly photography spanning cowboy portraits, Indigenous presence, frontier???","Fine Art Photography of the American West","https://www.k4studios.com/Fine-Art-Photography-of-the-American-West","True","True","False","True","5026","True"
"/Historical-Western-Art","200","https://www.k4studios.com/Historical-Western-Art","True","Historical Western Art ??? Wayne Heim","Historical Western art and historically themed Western photography by Wayne Heim ??? not modern ranch imagery ??? using narrative, painterly composition to explore???","Historical Western Art","https://www.k4studios.com/Historical-Western-Art","True","True","False","True","4554","True"
"/Narrative-Western-Art","200","https://www.k4studios.com/Narrative-Western-Art","True","Narrative Western Art ??? Wayne Heim | K4 Studios","Narrative Western Art by Wayne Heim at K4 Studios. Explore Narrative Western Art and collector-focused galleries at K4 Studios.","Narrative Western Art","https://www.k4studios.com/Narrative-Western-Art","True","True","False","True","5313","True"
"/Painterly-Western-Photography","200","https://www.k4studios.com/Painterly-Western-Photography","True","Painterly Western Photography ??? Wayne Heim","Painterly Western photography by Wayne Heim. Explore the discipline, light, and narrative philosophy behind character-driven cowboy portraits and frontier fine???","Painterly Western Photography","https://www.k4studios.com/Painterly-Western-Photography","True","True","False","True","4244","True"
"/Western-Cowboy-Photography","200","https://www.k4studios.com/Western-Cowboy-Photography","True","Western Cowboy Photography ??? Wayne Heim","Western cowboy photography and wild west cowboy portraits???authentic character studies from the American frontier, crafted with painterly depth and narrative???","Western Cowboy Photography","https://www.k4studios.com/Western-Cowboy-Photography","True","True","False","True","4460","True"
"/Western-Fine-Art-Photography","200","https://www.k4studios.com/Western-Fine-Art-Photography","True","Western Fine Art Photography","Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and narrative???","Western Fine Art Photography","https://www.k4studios.com/Western-Fine-Art-Photography","True","True","False","True","5519","True"
"/Western-Frontier-Art","200","https://www.k4studios.com/Western-Frontier-Art","True","Western Frontier Art","Western frontier art by Wayne Heim: historically rooted painterly fine art of the American frontier, centered on frontier life, character, tension, and???","Western Frontier Art","https://www.k4studios.com/Western-Frontier-Art","True","True","False","True","5345","True"
