keyword,volume,kd,intent,rank,rankBucket,cluster,currentPath,matchedRepoPage,intended,currentLandingCorrect,cannibalizationRisk,recommendedAction,priority,currentPageType,intendedPageType,semEntry,semPhrase,title,h1,metaDescription,canonical,schema
black and white western art,110,0,i|c,15,11-20,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,yes,/Western-Black-and-White-Photography,review,possible,improve internal linking to intended target without disturbing winner,86,gallery,doorway / hub,westernBlackWhiteHub,black and white western art,Black & White Western Portraits - Painterly Fine Art Photography,Black & White Western Portraits — Painterly Fine Art Photography,"Discover Black &#38; White Western Portraits that distill the American frontier into light, shadow, expression, and consequence. These images remove the warmth of...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
black and white western photos,90,4,c,16,11-20,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,yes,/Western-Black-and-White-Photography,review,possible,improve internal linking to intended target without disturbing winner,84,gallery,doorway / hub,,,Western Cowboy Portraits - Black & White Collection (99 Images),Western Cowboy Portraits – Black & White Collection (99 Images),Browse the full collection of 99 black and white Western cowboy portraits by Wayne Heim. Dramatic monochrome frontier photography featuring authentic cowboys...,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
black and white cowboy art,90,0,i|c,38,21-40,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,yes,/Western-Black-and-White-Photography,review,possible,resolve landing mismatch / possible cannibalization,83,gallery,doorway / hub,westernBlackWhiteHub,black and white cowboy art,Black & White Western Portraits - Painterly Fine Art Photography,Black & White Western Portraits — Painterly Fine Art Photography,"Discover Black &#38; White Western Portraits that distill the American frontier into light, shadow, expression, and consequence. These images remove the warmth of...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
wild west artwork,260,10,c,31,21-40,Wild West / frontier,/wild-west-art,yes,/wild-west-art,yes,,strengthen existing page,81,doorway / hub,doorway / hub,,,Wild West Art | Frontier Artwork by Wayne Heim - K4 Studios,Wild West Art,"Wild West art by Wayne Heim featuring frontier narratives, painterly Wild West artwork, and historically inflected imagery grounded in atmosphere and story.",https://www.k4studios.com/wild-west-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
vintage western prints,170,4,c,29,21-40,Vintage Western / Old West,/vintage-western-art,yes,/vintage-western-art,yes,,strengthen existing page,81,doorway / hub,doorway / hub,,,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western portraits,110,10,i,18,11-20,Cowboy / Western portraits,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,review,possible,improve internal linking to intended target without disturbing winner,81,gallery,gallery,cowboy,western portraits,Western Cowboy Portraits - Color Collection (147 Images),Western Cowboy Portraits – Color Collection (147 Images),"Browse the full collection of 147 painterly Western cowboy portraits in color by Wayne Heim. Cinematic frontier photography featuring authentic cowboys, ranch...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
vintage cowboy art,320,10,c,40,21-40,Vintage Western / Old West,/vintage-western-art,yes,/vintage-western-art,yes,,strengthen existing page,80,doorway / hub,doorway / hub,westernWallArtHub,vintage cowboy art,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
cowboy portrait,260,12,c,27,21-40,Cowboy / Western portraits,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,yes,,strengthen existing page,80,gallery,gallery,cowboy,cowboy portrait,Western Cowboy Portraits - Wayne Heim,Western Portraits — Painterly Fine Art Photography,"Western cowboy portraits by Wayne Heim: painterly fine art portraits of frontier characters, Old West figures, and historically grounded subjects of the...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
black and white cowboy photos,110,12,c,12,11-20,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,yes,/Western-Black-and-White-Photography,review,possible,improve internal linking to intended target without disturbing winner,80,gallery,doorway / hub,,,Western Cowboy Portraits - Black & White Collection (99 Images),Western Cowboy Portraits – Black & White Collection (99 Images),Browse the full collection of 99 black and white Western cowboy portraits by Wayne Heim. Dramatic monochrome frontier photography featuring authentic cowboys...,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
black and white pictures of cowboys,90,11,c,14,11-20,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,yes,/Western-Black-and-White-Photography,review,possible,improve internal linking to intended target without disturbing winner,80,gallery,doorway / hub,westernBlackWhiteHub,black and white pictures of cowboys,Western Cowboy Portraits - Black & White Collection (99 Images),Western Cowboy Portraits – Black & White Collection (99 Images),Browse the full collection of 99 black and white Western cowboy portraits by Wayne Heim. Dramatic monochrome frontier photography featuring authentic cowboys...,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
black and white western pictures,90,6,c,30,21-40,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,yes,/Western-Black-and-White-Photography,review,possible,resolve landing mismatch / possible cannibalization,80,gallery,doorway / hub,,,Black & White Western Portraits - Painterly Fine Art Photography,Black & White Western Portraits — Painterly Fine Art Photography,"Discover Black &#38; White Western Portraits that distill the American frontier into light, shadow, expression, and consequence. These images remove the warmth of...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
cowboy portrait painting,70,6,c,24,21-40,Cowboy / Western portraits,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,review,possible,resolve landing mismatch / possible cannibalization,79,gallery,gallery,,,Western Cowboy Portraits - Black & White Collection (99 Images),Western Cowboy Portraits – Black & White Collection (99 Images),Browse the full collection of 99 black and white Western cowboy portraits by Wayne Heim. Dramatic monochrome frontier photography featuring authentic cowboys...,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
western vintage cowboy art,70,2,i|c,34,21-40,Vintage Western / Old West,/vintage-western-art,yes,/vintage-western-art,yes,,strengthen existing page,79,doorway / hub,doorway / hub,,,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western fine art photography,30,5,c,13,11-20,Western fine art photography,/Western-Fine-Art-Photography,yes,/Western-Fine-Art-Photography,yes,,strengthen existing page,79,doorway / hub,doorway / hub,westernHubLanding,Western Fine Art Photography,Western Fine Art Photography,Western Fine Art Photography,"Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and...",https://www.k4studios.com/Western-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
cowboy art,2400,4,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,78,missing,doorway / hub,westernWallArtHub,cowboy art,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
cowboy portraits,50,12,c,12,11-20,Cowboy / Western portraits,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,review,possible,improve internal linking to intended target without disturbing winner,78,gallery,gallery,cowboyFineArtHub,cowboy portraits,Western Cowboy Portraits - Color Collection (147 Images),Western Cowboy Portraits – Color Collection (147 Images),"Browse the full collection of 147 painterly Western cowboy portraits in color by Wayne Heim. Cinematic frontier photography featuring authentic cowboys, ranch...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
western art photography,20,0,c,32,21-40,Western fine art photography,/Western-Photography-Prints,yes,/Western-Photography-Art,review,possible,resolve landing mismatch / possible cannibalization,78,doorway / hub,doorway / hub,westernPhotographyArtHub,Western Art Photography,Western Photography Prints,Western Photography Prints,"Western photography prints by Wayne Heim presented as a curated entry into story-driven cowboy portraits, Wild West narratives, and collector-grade Western wall...",https://www.k4studios.com/Western-Photography-Prints,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
vintage cowboy print,110,14,i|c,17,11-20,Vintage Western / Old West,/vintage-western-art,yes,/vintage-western-art,yes,,strengthen existing page,77,doorway / hub,doorway / hub,,,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western black and white photography,20,8,i|c,16,11-20,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,yes,/Western-Black-and-White-Photography,review,possible,improve internal linking to intended target without disturbing winner,77,gallery,doorway / hub,westernBlackWhiteHub,Western Black and White Photography,Western Cowboy Portraits - Black & White Collection (99 Images),Western Cowboy Portraits – Black & White Collection (99 Images),Browse the full collection of 99 black and white Western cowboy portraits by Wayne Heim. Dramatic monochrome frontier photography featuring authentic cowboys...,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
western artwork,2400,9,i|c,-,Unranked,Broad commercial Western / cowboy art,,no,/western-artwork,no current landing,,strengthen/build commercial doorway target,76,missing,doorway / hub,,,Western Artwork | Painterly Western Art by Wayne Heim - K4 Studios,Western Artwork,"Western artwork by Wayne Heim spanning painterly portraits, narrative frontier scenes, and atmospheric landscapes for collectors seeking serious Western art.",https://www.k4studios.com/western-artwork,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
vintage western art,320,5,c,-,Unranked,Vintage Western / Old West,,no,/vintage-western-art,no current landing,,strengthen/build commercial doorway target,76,missing,doorway / hub,glossaryVintageWesternPhotography,vintage western art,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
wild west poster,260,7,c,-,Unranked,Wild West / frontier,,no,/wild-west-art,no current landing,,strengthen/build commercial doorway target,76,missing,doorway / hub,,,Wild West Art | Frontier Artwork by Wayne Heim - K4 Studios,Wild West Art,"Wild West art by Wayne Heim featuring frontier narratives, painterly Wild West artwork, and historically inflected imagery grounded in atmosphere and story.",https://www.k4studios.com/wild-west-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western photography prints,70,11,c,36,21-40,Western fine art photography,/Western-Fine-Art-Photography,yes,/Western-Fine-Art-Photography,yes,,strengthen existing page,76,doorway / hub,doorway / hub,,,Western Fine Art Photography,Western Fine Art Photography,"Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and...",https://www.k4studios.com/Western-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
black and white western wall art,20,3,i|c,29,21-40,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,yes,/Western-Black-and-White-Photography,review,possible,resolve landing mismatch / possible cannibalization,76,gallery,doorway / hub,westernBlackWhiteHub,black and white western wall art,Black & White Western Portraits - Painterly Fine Art Photography,Black & White Western Portraits — Painterly Fine Art Photography,"Discover Black &#38; White Western Portraits that distill the American frontier into light, shadow, expression, and consequence. These images remove the warmth of...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
cowboy pictures black and white,50,11,c,35,21-40,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,yes,/Western-Black-and-White-Photography,review,possible,resolve landing mismatch / possible cannibalization,75,gallery,doorway / hub,,,Western Cowboy Portraits - Black & White Collection (99 Images),Western Cowboy Portraits – Black & White Collection (99 Images),Browse the full collection of 99 black and white Western cowboy portraits by Wayne Heim. Dramatic monochrome frontier photography featuring authentic cowboys...,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
western prints,720,8,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,74,missing,doorway / hub,westernWallArtHub,western prints,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
vintage western paintings,110,0,i|c,-,Unranked,Vintage Western / Old West,,no,/vintage-western-art,no current landing,,strengthen/build commercial doorway target,74,missing,doorway / hub,,,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western photographers,90,18,i,35,21-40,Cowboy / Western portraits,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,review,possible,resolve landing mismatch / possible cannibalization,74,gallery,gallery,,,Western Cowboy Portraits - Color Collection (147 Images),Western Cowboy Portraits – Color Collection (147 Images),"Browse the full collection of 147 painterly Western cowboy portraits in color by Wayne Heim. Cinematic frontier photography featuring authentic cowboys, ranch...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Color/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
black and white cowboy photography,20,13,i|c,14,11-20,Black-and-white Western / cowboy,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,yes,/Western-Black-and-White-Photography,review,possible,improve internal linking to intended target without disturbing winner,74,gallery,doorway / hub,westernBlackWhiteHub,Black and White Cowboy Photography,Western Cowboy Portraits - Black & White Collection (99 Images),Western Cowboy Portraits – Black & White Collection (99 Images),Browse the full collection of 99 black and white Western cowboy portraits by Wayne Heim. Dramatic monochrome frontier photography featuring authentic cowboys...,https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits/Black-White/all,WebSite; Organization; ImageObject; Person; CollectionPage; BreadcrumbList; ListItem
fine art western photography,10,9,i,15,11-20,Western fine art photography,/Western-Fine-Art-Photography,yes,/Western-Fine-Art-Photography,yes,,strengthen existing page,74,doorway / hub,doorway / hub,,,Western Fine Art Photography,Western Fine Art Photography,"Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and...",https://www.k4studios.com/Western-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western wall decor,1300,13,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,73,missing,doorway / hub,westernWallArtHub,western wall decor,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western art prints,720,9,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Fine-Art-Photography,no current landing,,strengthen/build commercial doorway target,73,missing,doorway / hub,westernHubLanding,western art prints,Western Fine Art Photography,Western Fine Art Photography,"Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and...",https://www.k4studios.com/Western-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western wall artwork,590,9,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,73,missing,doorway / hub,,,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
cowboy wall art,480,7,i|c,-,Unranked,Broad commercial Western / cowboy art,,no,/Cowboy-Fine-Art-Photography,no current landing,,strengthen/build commercial doorway target,73,missing,doorway / hub,cowboyFineArtHub,cowboy wall art,Cowboy Fine Art Photography - Wayne Heim,Cowboy Fine Art Photography,Cowboy fine art photography by Wayne Heim. This collection features cowboy photography and black and white cowboy photography - authentic portraits of...,https://www.k4studios.com/Cowboy-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
wild west art,390,15,c,-,Unranked,Wild West / frontier,,no,/wild-west-art,no current landing,,strengthen/build commercial doorway target,73,missing,doorway / hub,glossaryWildWestPhotography,wild west art,Wild West Art | Frontier Artwork by Wayne Heim - K4 Studios,Wild West Art,"Wild West art by Wayne Heim featuring frontier narratives, painterly Wild West artwork, and historically inflected imagery grounded in atmosphere and story.",https://www.k4studios.com/wild-west-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
vintage western wall art,210,8,i|c,-,Unranked,Vintage Western / Old West,,no,/vintage-western-art,no current landing,,strengthen/build commercial doorway target,73,missing,doorway / hub,westernWallArtHub,vintage western wall art,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
old western art,170,6,i|c,-,Unranked,Vintage Western / Old West,,no,/vintage-western-art,no current landing,,strengthen/build commercial doorway target,73,missing,doorway / hub,,,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western cowboy art prints,170,0,c,-,Unranked,Broad commercial Western / cowboy art,,no,/cowboy-art-prints,no current landing,,strengthen/build commercial doorway target,73,missing,doorway / hub,,,Cowboy Art Prints | K4 Studios,Cowboy Art Prints,"Cowboy art prints by Wayne Heim where frontier character, painterly light, and narrative pressure keep the image active on the wall.",https://www.k4studios.com/cowboy-art-prints,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
